endpoint,url,status,availability,avg_latency_ms,p95_latency_ms,last_checked
Health Check,http://127.0.0.1:8000/health,UP,100.0,16.6,60.1,12:54:25
Get Users,http://127.0.0.1:8000/users,UP,100.0,20.9,47.4,12:54:25
Slow Endpoint,http://127.0.0.1:8000/slow,UP,100.0,3242.5,4815.9,12:54:28
Unstable Endpoint,http://127.0.0.1:8000/unstable,UP,35.0,18.3,39.5,12:54:28
