endpoint,url,status,availability,avg_latency_ms,p95_latency_ms,last_checked
Health Check,http://127.0.0.1:8000/health,UP,100.0,17.2,60.1,12:56:07
Get Users,http://127.0.0.1:8000/users,UP,100.0,21.2,37.0,12:56:07
Slow Endpoint,http://127.0.0.1:8000/slow,DEGRADED,100.0,3214.8,4468.9,12:56:10
Unstable Endpoint,http://127.0.0.1:8000/unstable,RECOVERED,35.0,17.8,39.5,12:56:11
