endpoint,url,status,availability,avg_latency_ms,p95_latency_ms,last_checked
Health Check,http://127.0.0.1:8000/health,UP,100.0,15.1,60.1,12:55:33
Get Users,http://127.0.0.1:8000/users,UP,100.0,20.2,37.0,12:55:33
Slow Endpoint,http://127.0.0.1:8000/slow,UP,100.0,3303.9,4815.9,12:55:36
Unstable Endpoint,http://127.0.0.1:8000/unstable,DOWN,35.0,18.3,39.5,12:55:36
