endpoint,url,status,availability,avg_latency_ms,p95_latency_ms,last_checked
Health Check,http://127.0.0.1:8000/health,UP,100.0,15.7,60.1,12:52:08
Get Users,http://127.0.0.1:8000/users,UP,100.0,18.6,36.8,12:52:08
Slow Endpoint,http://127.0.0.1:8000/slow,UP,100.0,3188.7,4697.7,12:52:11
Unstable Endpoint,http://127.0.0.1:8000/unstable,UP,35.0,20.1,43.6,12:52:11
